repository,commit,filepath,failure_prone,status,nodes,edges,reason,details
dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/vars/sysctl.yml,0.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,vars file
dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/vars/Debian.yml,0.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,vars file
dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,meta/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,meta file
dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/defaults/main.yml,0.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,defaults file
dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/vars/main.yml,0.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,vars file
dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/vars/Oracle Linux.yml,0.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,vars file
dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/vars/RedHat.yml,0.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,vars file
dev-sec/ansible-collection-hardening,1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d,meta/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,meta file
dev-sec/ansible-collection-hardening,13ad1d266493ef98314d46896b8b3cc31d4c607e,meta/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,meta file
dev-sec/ansible-collection-hardening,f7774d150341f16d9a334acd302ca9c2a56c4db1,meta/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,meta file
dev-sec/ansible-collection-hardening,6505157c62c457cd5c56f304712d8efc2efc1fa8,meta/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,meta file
dev-sec/ansible-collection-hardening,7fdd7b4bb8dba52c78773d795b728134ebb15073,meta/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,meta file
dev-sec/ansible-collection-hardening,6d21d249b965e92dbe9f3356dee0e058a94b9bcb,meta/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,meta file
dev-sec/ansible-collection-hardening,49d380f00c12fd8b354a2c07d57add8b84be52e0,meta/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,meta file
dev-sec/ansible-collection-hardening,3cb86a6202934ae62a09426efc35497e760dd08a,meta/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,meta file
dev-sec/ansible-collection-hardening,99140854cae0ac60b1e1c3017521ed8e31525ed9,meta/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,meta file
dev-sec/ansible-collection-hardening,2d4f4d2717b8dba3e00f35773a35bcc95be0a2b0,meta/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,meta file
dev-sec/ansible-collection-hardening,b9acd71ececa2b33ee5357b020d4b042061d58e3,meta/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,meta file
dev-sec/ansible-collection-hardening,1393c190804652de1774d4c07c0f9fdfaef421d8,handlers/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,handlers file
dev-sec/ansible-collection-hardening,1393c190804652de1774d4c07c0f9fdfaef421d8,meta/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,meta file
dev-sec/ansible-collection-hardening,84f659d83da265ca926fce5691e3379cfaeabc49,handlers/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,handlers file
dev-sec/ansible-collection-hardening,84f659d83da265ca926fce5691e3379cfaeabc49,meta/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,meta file
dev-sec/ansible-collection-hardening,365d7389c7f4dbae518897d24f68d1ea839d61eb,handlers/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,handlers file
dev-sec/ansible-collection-hardening,365d7389c7f4dbae518897d24f68d1ea839d61eb,meta/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,meta file
dev-sec/ansible-collection-hardening,4c5fa242bd2f8e590fe0d2df6d08c54a585d574f,handlers/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,handlers file
dev-sec/ansible-collection-hardening,4c5fa242bd2f8e590fe0d2df6d08c54a585d574f,meta/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,meta file
dev-sec/ansible-collection-hardening,9f566ae60d41b7a0edf5a0a46b7b08eaf6250a0f,handlers/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,handlers file
dev-sec/ansible-collection-hardening,9f566ae60d41b7a0edf5a0a46b7b08eaf6250a0f,meta/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,meta file
dev-sec/ansible-collection-hardening,fe9fad88458ae7979e7ef9d681de23d5e1dbdd6b,handlers/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,handlers file
dev-sec/ansible-collection-hardening,fe9fad88458ae7979e7ef9d681de23d5e1dbdd6b,meta/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,meta file
dev-sec/ansible-collection-hardening,a8e349913de0567a9455b70b218ca36232bfd302,handlers/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,handlers file
dev-sec/ansible-collection-hardening,a8e349913de0567a9455b70b218ca36232bfd302,meta/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,meta file
dev-sec/ansible-collection-hardening,7077187a672b738fed05409dc64157a45a60bdf7,handlers/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,handlers file
dev-sec/ansible-collection-hardening,7077187a672b738fed05409dc64157a45a60bdf7,meta/main.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,meta file
dev-sec/ansible-collection-hardening,2f19ad1ce25ff49aa442301fd9f5bac03da855a9,roles/mysql_hardening/vars/RedHat_7.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,vars file
dev-sec/ansible-collection-hardening,2f19ad1ce25ff49aa442301fd9f5bac03da855a9,roles/os_hardening/vars/RedHat-6.yml,0.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,vars file
dev-sec/ansible-collection-hardening,2f19ad1ce25ff49aa442301fd9f5bac03da855a9,roles/ssh_hardening/vars/RedHat.yml,1.0,UNSUPPORTED_FILE_TYPE,0.0,0.0,pdg_status_UNSUPPORTED_FILE_TYPE,vars file
