repository,commit,filepath,graphml_local_path,maxPdgVertices,lackOfCohesion,verticesCount,edgesCount,edgesToVerticesRatio,globalInput,globalOutput,directFanIn,indirectFanIn,directFanOut,indirectFanOut,pdg_task_nodes,pdg_order_edges,pdg_def_edges,pdg_use_edges,pdg_unique_edge_labels
dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/tasks/login_defs.yml,output\second_pdg_extraction\pdg_file_level\dev-sec\ansible-collection-hardening\91ecc19bc0bf14c874e9ee8c024a94cf2269f204\roles\ansible-os-hardening\tasks\login_defs.yml\PDG_FILE_LEVEL\pdg.graphml,6,0.0,6,5,0.8333333333333334,5,0,5,0,0,0,1,0,0,0,5
dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/tasks/main.yml,output\second_pdg_extraction\pdg_file_level\dev-sec\ansible-collection-hardening\91ecc19bc0bf14c874e9ee8c024a94cf2269f204\roles\ansible-os-hardening\tasks\main.yml\PDG_FILE_LEVEL\pdg.graphml,4,0.0,4,3,0.75,1,0,1,2,0,0,1,0,1,0,3
dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/tasks/securetty.yml,output\second_pdg_extraction\pdg_file_level\dev-sec\ansible-collection-hardening\91ecc19bc0bf14c874e9ee8c024a94cf2269f204\roles\ansible-os-hardening\tasks\securetty.yml\PDG_FILE_LEVEL\pdg.graphml,6,0.0,6,5,0.8333333333333334,5,0,5,0,0,0,1,0,0,0,5
dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/tasks/rhosts.yml,output\second_pdg_extraction\pdg_file_level\dev-sec\ansible-collection-hardening\91ecc19bc0bf14c874e9ee8c024a94cf2269f204\roles\ansible-os-hardening\tasks\rhosts.yml\PDG_FILE_LEVEL\pdg.graphml,13,0.0,13,14,1.0769230769230769,5,1,9,11,4,1,3,3,2,0,9
dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/tasks/pam.yml,output\second_pdg_extraction\pdg_file_level\dev-sec\ansible-collection-hardening\91ecc19bc0bf14c874e9ee8c024a94cf2269f204\roles\ansible-os-hardening\tasks\pam.yml\PDG_FILE_LEVEL\pdg.graphml,84,0.0,84,198,2.357142857142857,40,0,162,567,106,14,16,106,14,0,15
dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/tasks/sysctl.yml,output\second_pdg_extraction\pdg_file_level\dev-sec\ansible-collection-hardening\91ecc19bc0bf14c874e9ee8c024a94cf2269f204\roles\ansible-os-hardening\tasks\sysctl.yml\PDG_FILE_LEVEL\pdg.graphml,55,0.0,55,68,1.2363636363636363,29,0,48,125,15,20,7,14,8,0,22
dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/tasks/minimize_access.yml,output\second_pdg_extraction\pdg_file_level\dev-sec\ansible-collection-hardening\91ecc19bc0bf14c874e9ee8c024a94cf2269f204\roles\ansible-os-hardening\tasks\minimize_access.yml\PDG_FILE_LEVEL\pdg.graphml,29,0.0,29,30,1.0344827586206897,18,0,16,47,3,0,3,3,3,0,19
dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/tasks/yum.yml,output\second_pdg_extraction\pdg_file_level\dev-sec\ansible-collection-hardening\91ecc19bc0bf14c874e9ee8c024a94cf2269f204\roles\ansible-os-hardening\tasks\yum.yml\PDG_FILE_LEVEL\pdg.graphml,45,0.0,45,54,1.2,19,0,27,115,11,29,6,9,8,0,18
dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/tasks/profile.yml,output\second_pdg_extraction\pdg_file_level\dev-sec\ansible-collection-hardening\91ecc19bc0bf14c874e9ee8c024a94cf2269f204\roles\ansible-os-hardening\tasks\profile.yml\PDG_FILE_LEVEL\pdg.graphml,9,0.0,9,8,0.8888888888888888,6,0,6,2,0,0,1,0,1,0,8
dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/tasks/user_accounts.yml,output\second_pdg_extraction\pdg_file_level\dev-sec\ansible-collection-hardening\91ecc19bc0bf14c874e9ee8c024a94cf2269f204\roles\ansible-os-hardening\tasks\user_accounts.yml\PDG_FILE_LEVEL\pdg.graphml,39,0.0,39,43,1.1025641025641026,8,2,11,30,5,33,3,3,15,0,13
dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/tasks/limits.yml,output\second_pdg_extraction\pdg_file_level\dev-sec\ansible-collection-hardening\91ecc19bc0bf14c874e9ee8c024a94cf2269f204\roles\ansible-os-hardening\tasks\limits.yml\PDG_FILE_LEVEL\pdg.graphml,15,0.0,15,15,1.0,11,0,13,9,1,0,2,1,1,0,11
dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/tasks/suid_sgid.yml,output\second_pdg_extraction\pdg_file_level\dev-sec\ansible-collection-hardening\91ecc19bc0bf14c874e9ee8c024a94cf2269f204\roles\ansible-os-hardening\tasks\suid_sgid.yml\PDG_FILE_LEVEL\pdg.graphml,35,0.0,35,42,1.2,12,0,18,47,6,18,3,5,9,0,14
dev-sec/ansible-collection-hardening,1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d,tasks/yum.yml,output\second_pdg_extraction\pdg_file_level\dev-sec\ansible-collection-hardening\1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d\tasks\yum.yml\PDG_FILE_LEVEL\pdg.graphml,45,0.0,45,54,1.2,19,0,27,115,11,29,6,9,8,0,18
dev-sec/ansible-collection-hardening,1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d,tasks/suid_sgid.yml,output\second_pdg_extraction\pdg_file_level\dev-sec\ansible-collection-hardening\1c057722a1a7d76c9cdaa0ffa8cf19e6877de00d\tasks\suid_sgid.yml\PDG_FILE_LEVEL\pdg.graphml,35,0.0,35,42,1.2,12,0,18,47,6,18,3,5,9,0,14
