repository,rows
marcstraube/ansible-collection-common,1853
dev-sec/ansible-collection-hardening,1820
anthcourtney/ansible-role-cis-amazon-linux,1810
galaxyproject/ansible-galaxy,1721
Rosa-Luxemburgstiftung-Berlin/ansible-opnsense,1536
AshAvalanche/ansible-avalanche-collection,1429
NETWAYS/ansible-collection-icinga,1268
gmazoyer/ansible-role-netbox,978
sensu/sensu-ansible,889
redhat-cop/infra.leapp,837
IBM/ansible-power-aix,791
OndrejHome/ansible.ha-cluster-pacemaker,708
redhat-cop/aap_utilities,706
meysam81/ansible-collections,695
juju4/ansible-harden-windows,594
juju4/ansible-harden,586
sensu/sensu-go-ansible,524
ansible-middleware/infinispan,504
githubixx/ansible-role-cilium-kubernetes,404
osism/ansible-collection-validations,403
ansible-lockdown/RHEL10-CIS,400
robertdebock/ansible-role-tomcat,389
geerlingguy/ansible-role-postgresql,386
ANXS/nginx,383
timothystewart6/k3s-ansible,378
CiscoDevNet/ansible-ucs,376
bodsch/ansible-collection-grafana,366
maxhoesel-ansible/ansible-collection-proxmox,361
robertdebock/ansible-role-users,319
gantsign/ansible-role-java,314
OSC/ood-ansible,313
felixfontein/ansible-acme,295
ansible/galaxy_collection,285
paperless-ngx/ansible,284
bodsch/ansible-collection-systemd,276
kubeop/k8s,274
maxhoesel-ansible/ansible-collection-pterodactyl,273
juju4/ansible-MISP,271
tubby1981/ansible,268
infobloxopen/infoblox-ansible,261
SlingNode/slingnode-ansible-ethereum,259
lvps/389ds-server,251
foundata/ansible-collection-acmesh,248
idiv-biodiversity/ansible-role-lmod,244
sjlex/ansible-collection,238
trailofbits/algo,227
ricsanfre/ansible-role-minio,222
nginxinc/ansible-role-nginx-app-protect,215
idealista/solr_role,211
HanXHX/ansible-debian-bootstrap,209
Dynatrace/Dynatrace-OneAgent-Ansible,208
trfore/ansible-smallstep,207
githubixx/ansible-role-kubernetes-worker,199
dokku/ansible-dokku,197
evrardjp/ansible-keepalived,192
githubixx/ansible-role-kubernetes-controller,188
geerlingguy/ansible-role-java,187
geerlingguy/ansible-role-security,187
mrlesmithjr/ansible-manage-lvm,185
somaz94/ansible-k8s-iac-tool,182
redhat-cop/ee_utilities,180
ansible-lockdown/AMAZON2023-CIS,178
geerlingguy/ansible-role-kubernetes,176
William-Yeh/ansible-prometheus,175
arillso/ansible.agent,172
DavidWittman/ansible-redis,172
telekom-mms/ansible-collection-icinga,171
idealista/mysql_role,170
geerlingguy/ansible-role-certbot,169
istvano/ansible_role_microk8s,168
ansible-collections/community.cassandra,166
William-Yeh/ansible-oracle-java,164
ansible-community/molecule-plugins,153
githubixx/ansible-role-harden-linux,152
Stouts/Stouts.openvpn,152
YPCrumble/ansible-django-stack,149
ansible-lockdown/AMAZON2-CIS,147
alliedtelesis/ansible_awplus,145
idealista/kafka_role,144
juju4/ansible-falco,141
robertdebock/ansible-role-haproxy,136
cyberark/pvwa,135
uoi-io/ansible-haproxy,134
artis3n/ansible-collection-tailscale,130
wcm-io-devops/ansible-jenkins-configuration-as-code,126
foundata/ansible-collection-sshd,124
ansible-collections/dellemc.os6,120
idealista/airflow-role,118
leucos/ansible-pxc,115
githubixx/ansible-role-kubectl,114
borgbase/ansible-role-borgbackup,111
geerlingguy/ansible-role-logstash,105
devops-coop/ansible-minecraft,101
PowerDNS/pdns_recursor-ansible,100
robertdebock/ansible-role-auditd,99
newrelic/infrastructure-agent-ansible,98
geerlingguy/ansible-role-nodejs,96
geerlingguy/mac-dev-playbook,95
atosatto/ansible-dockerswarm,91
florianutz/Ubuntu1804-CIS,90
robertdebock/ansible-role-rsyslog,89
ansible-collections/dellemc.os9,88
robertdebock/ansible-role-dns,88
robertdebock/ansible-role-update,84
stackhpc/ansible-role-beegfs,81
geerlingguy/ansible-role-elasticsearch,81
geerlingguy/ansible-role-composer,75
caddy-ansible/caddy-ansible,74
bertvv/ansible-role-mariadb,71
k3s-io/k3s-ansible,70
gantsign/ansible-role-maven,68
bngsudheer/ansible-role-redmine,68
cyberark/ansible-security-automation-collection,62
geerlingguy/ansible-role-redis,62
geerlingguy/ansible-role-nfs,62
garutilorenzo/ansible-collection-elk,61
karras/ansible-collection-linux_client,56
ansible-collections/community.proxysql,54
geerlingguy/ansible-role-firewall,51
gantsign/ansible_role_minikube,49
geerlingguy/ansible-role-ntp,46
gantsign/ansible_role_helm,45
sbarbett/pihole-ansible,45
