row_index,repository,commit,filepath,failure_prone,status,nodes,edges,graphml_path,error
1,dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/tasks/login_defs.yml,0.0,SUCCESS,6,5,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/91ecc19bc0bf14c874e9ee8c024a94cf2269f204/roles/ansible-os-hardening/tasks/login_defs.yml/PDG_FILE_LEVEL/pdg.graphml,
3,dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/tasks/main.yml,0.0,SUCCESS,4,3,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/91ecc19bc0bf14c874e9ee8c024a94cf2269f204/roles/ansible-os-hardening/tasks/main.yml/PDG_FILE_LEVEL/pdg.graphml,
5,dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/tasks/securetty.yml,0.0,SUCCESS,6,5,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/91ecc19bc0bf14c874e9ee8c024a94cf2269f204/roles/ansible-os-hardening/tasks/securetty.yml/PDG_FILE_LEVEL/pdg.graphml,
6,dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/tasks/rhosts.yml,1.0,SUCCESS,13,14,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/91ecc19bc0bf14c874e9ee8c024a94cf2269f204/roles/ansible-os-hardening/tasks/rhosts.yml/PDG_FILE_LEVEL/pdg.graphml,
7,dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/tasks/pam.yml,0.0,SUCCESS,84,198,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/91ecc19bc0bf14c874e9ee8c024a94cf2269f204/roles/ansible-os-hardening/tasks/pam.yml/PDG_FILE_LEVEL/pdg.graphml,
9,dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/tasks/sysctl.yml,1.0,SUCCESS,55,68,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/91ecc19bc0bf14c874e9ee8c024a94cf2269f204/roles/ansible-os-hardening/tasks/sysctl.yml/PDG_FILE_LEVEL/pdg.graphml,
12,dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/tasks/minimize_access.yml,0.0,SUCCESS,29,30,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/91ecc19bc0bf14c874e9ee8c024a94cf2269f204/roles/ansible-os-hardening/tasks/minimize_access.yml/PDG_FILE_LEVEL/pdg.graphml,
15,dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/tasks/yum.yml,1.0,SUCCESS,45,54,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/91ecc19bc0bf14c874e9ee8c024a94cf2269f204/roles/ansible-os-hardening/tasks/yum.yml/PDG_FILE_LEVEL/pdg.graphml,
16,dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/tasks/profile.yml,0.0,SUCCESS,9,8,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/91ecc19bc0bf14c874e9ee8c024a94cf2269f204/roles/ansible-os-hardening/tasks/profile.yml/PDG_FILE_LEVEL/pdg.graphml,
17,dev-sec/ansible-collection-hardening,91ecc19bc0bf14c874e9ee8c024a94cf2269f204,roles/ansible-os-hardening/tasks/user_accounts.yml,1.0,SUCCESS,39,43,/app/output/second_pdg_extraction/pdg_file_level/dev-sec/ansible-collection-hardening/91ecc19bc0bf14c874e9ee8c024a94cf2269f204/roles/ansible-os-hardening/tasks/user_accounts.yml/PDG_FILE_LEVEL/pdg.graphml,
